                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.243,                 1.4808,                 1.6111,                0.56808,                0.55414,                0.58257,                0.25475,                 2.4644,                  1.858,                 1.8335,              0.0096634,              0.0096634,              0.0096634
                     36,                 2.2332,                 1.4731,                 1.6155,                  0.745,                0.66621,                0.70944,                0.30148,                  2.422,                 1.5877,                 1.8445,              0.0096535,              0.0096535,              0.0096535
                     37,                  2.236,                 1.4668,                 1.6177,                0.75308,                0.60577,                0.69495,                0.29771,                 2.4204,                 1.6218,                 1.8973,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.2312,                 1.4219,                 1.5661,                0.68947,                0.65465,                0.70529,                0.33353,                 2.2066,                 1.7192,                 1.7571,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.1848,                 1.3914,                 1.5432,                0.80524,                0.71089,                0.75895,                0.34143,                 2.2702,                 1.4569,                  1.789,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.1543,                 1.3792,                 1.5558,                0.80066,                0.62453,                0.72298,                0.31616,                  2.325,                 1.4622,                 1.8222,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.1438,                 1.3601,                 1.5331,                0.60388,                0.51515,                0.57234,                0.27041,                 2.3537,                 1.8301,                 1.8214,               0.009604,               0.009604,               0.009604
                     42,                 2.1509,                 1.3819,                 1.5683,                0.71609,                0.58964,                0.70248,                0.31157,                 2.3239,                 1.5838,                 1.8218,              0.0095941,              0.0095941,              0.0095941
                     43,                 2.1512,                  1.361,                 1.5652,                0.86777,                  0.649,                0.76608,                0.35813,                  2.281,                 1.2856,                 1.8232,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.1515,                 1.3274,                 1.5655,                0.77547,                0.69269,                0.76197,                0.36555,                 2.3299,                 1.3779,                 1.7757,              0.0095743,              0.0095743,              0.0095743
                     45,                 2.1093,                 1.2905,                 1.5418,                0.72399,                 0.5973,                0.66677,                0.30777,                 2.3386,                  1.516,                 1.8378,              0.0095644,              0.0095644,              0.0095644
                     46,                 2.1708,                 1.3088,                 1.5512,                0.77679,                0.70298,                0.77549,                0.35937,                 2.2776,                 1.5303,                 1.7622,              0.0095545,              0.0095545,              0.0095545
                     47,                 2.1699,                 1.3044,                 1.5518,                0.79932,                0.67615,                0.75762,                0.35849,                 2.2622,                 1.4313,                 1.7746,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.1156,                 1.2617,                 1.5348,                0.78237,                 0.6772,                0.74604,                0.35499,                 2.2522,                 1.4163,                 1.7462,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.1216,                 1.2754,                 1.5406,                0.75209,                 0.6748,                0.73727,                0.34891,                 2.1539,                 1.3918,                 1.6869,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.1392,                  1.302,                 1.5428,                 0.8012,                0.70019,                0.76505,                0.38425,                 2.1416,                 1.4454,                 1.6893,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.1069,                 1.2644,                  1.494,                0.84338,                0.73653,                0.83626,                0.38881,                 2.2456,                 1.3384,                  1.722,               0.009505,               0.009505,               0.009505
                     52,                 2.0441,                 1.2308,                 1.5008,                 0.7086,                0.65309,                0.72779,                0.33817,                 2.4018,                 1.5385,                 1.7916,              0.0094951,              0.0094951,              0.0094951
                     53,                 2.0833,                 1.2412,                  1.497,                0.83044,                0.74821,                0.80996,                0.39172,                 2.1903,                 1.1822,                 1.7038,              0.0094852,              0.0094852,              0.0094852
                     54,                 2.0541,                 1.1953,                 1.4955,                0.81288,                 0.6338,                0.73455,                0.32864,                 2.2816,                 1.5146,                 1.7735,              0.0094753,              0.0094753,              0.0094753
                     55,                 2.1146,                 1.2025,                 1.5044,                 0.7229,                0.71412,                0.73736,                0.33131,                 2.2994,                  1.433,                 1.7499,              0.0094654,              0.0094654,              0.0094654
                     56,                 2.0812,                 1.2242,                  1.515,                0.80445,                0.72338,                0.79254,                 0.3774,                 2.2085,                 1.2494,                  1.683,              0.0094555,              0.0094555,              0.0094555
                     57,                 2.0648,                 1.1731,                 1.4808,                0.81741,                 0.6804,                0.79285,                0.40012,                 2.1819,                 1.3167,                  1.729,              0.0094456,              0.0094456,              0.0094456
                     58,                 2.0727,                 1.1728,                 1.4988,                0.86214,                0.74203,                0.83178,                0.41927,                  2.115,                 1.2725,                 1.6494,              0.0094357,              0.0094357,              0.0094357
                     59,                 2.0569,                 1.1637,                 1.5007,                0.81952,                0.75295,                0.81479,                0.40582,                 2.1676,                 1.2354,                 1.6606,              0.0094258,              0.0094258,              0.0094258
                     60,                  2.044,                 1.1929,                 1.4829,                0.83061,                0.72333,                 0.8031,                0.38495,                 2.1044,                 1.1706,                 1.6138,              0.0094159,              0.0094159,              0.0094159
                     61,                 2.0213,                  1.166,                 1.4862,                0.81693,                0.67649,                0.78377,                 0.3779,                 2.1321,                 1.2349,                 1.6932,               0.009406,               0.009406,               0.009406
                     62,                 2.0666,                  1.165,                 1.4965,                0.84021,                0.71703,                0.80003,                0.37922,                 2.1748,                 1.2474,                 1.6669,              0.0093961,              0.0093961,              0.0093961
                     63,                 2.0445,                 1.1491,                 1.4774,                0.76468,                0.74051,                0.79172,                0.38271,                 2.2353,                 1.4468,                 1.7062,              0.0093862,              0.0093862,              0.0093862
                     64,                 2.0456,                 1.1429,                 1.4814,                 0.8633,                0.63759,                0.76286,                0.37606,                 2.3827,                 1.5329,                 1.8116,              0.0093763,              0.0093763,              0.0093763
                     65,                 2.0657,                 1.1893,                 1.4809,                 0.8093,                0.71672,                0.80064,                 0.3915,                  2.114,                 1.3658,                 1.6174,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.9887,                 1.1014,                 1.4525,                0.84283,                0.76064,                0.83105,                0.41181,                  2.189,                 1.1572,                 1.7247,              0.0093565,              0.0093565,              0.0093565
                     67,                 2.0286,                 1.1184,                 1.4588,                0.86108,                0.74221,                0.84507,                0.40573,                 2.1563,                 1.2167,                 1.6745,              0.0093466,              0.0093466,              0.0093466
