                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5668,                 4.0808,                 2.1306,                0.00088,                0.05718,                0.00044,                0.00032,                 5.6805,                    inf,                 12.656,               0.070682,              0.0032576,              0.0032576
                      2,                 3.3633,                 3.1412,                  2.076,                0.60369,                0.05909,                0.00542,                0.00132,                 4.2897,                    inf,                 3.8032,               0.040675,              0.0065844,              0.0065844
                      3,                 3.4164,                 2.9964,                 2.0877,                0.00943,                0.04522,                0.00478,                0.00184,                 4.0506,                    inf,                 3.5677,               0.010662,              0.0099046,              0.0099046
