                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1982,                 1.8098,                 2.0125,                0.57908,                0.50476,                0.54018,                0.21223,                  2.371,                 2.0236,                 2.2799,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.1719,                 1.8863,                 2.0105,                0.39962,                0.46667,                0.36083,                0.16091,                 2.4057,                 2.3506,                 2.4042,              0.0096634,              0.0096634,              0.0096634
                     36,                  2.144,                 1.7856,                 2.0152,                0.73913,                0.52381,                 0.6239,                0.25224,                 2.2058,                 1.8748,                 2.2122,              0.0096535,              0.0096535,              0.0096535
                     37,                  2.145,                  1.751,                  1.954,                0.48492,                 0.4381,                0.42279,                0.14925,                 2.5202,                 2.1555,                 2.3522,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.1514,                 1.7461,                 1.9733,                0.66082,                0.46391,                0.53344,                0.23174,                 2.3282,                 1.9456,                 2.1994,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.1587,                 1.6634,                 1.9395,                0.74343,                0.49675,                0.62961,                0.25144,                 2.2965,                 1.7808,                 2.1547,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.0973,                 1.7048,                 1.9305,                0.68158,                0.51429,                0.53246,                0.22776,                   2.31,                 2.0595,                 2.1529,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.1143,                 1.6834,                 1.9306,                 0.6722,                0.52381,                0.60953,                0.23704,                 2.3506,                 1.9075,                 2.2511,               0.009604,               0.009604,               0.009604
                     42,                 2.0773,                 1.6793,                 1.9248,                0.67489,                0.51404,                0.55762,                0.25848,                 2.2189,                 2.0263,                 2.1189,              0.0095941,              0.0095941,              0.0095941
                     43,                 2.0459,                 1.6266,                 1.8805,                0.65709,                0.57143,                0.58903,                0.22066,                 2.2927,                 2.0418,                 2.1747,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.1178,                 1.6971,                  1.945,                0.66184,                0.51429,                0.62634,                0.28297,                 2.1709,                 1.8821,                 2.1106,              0.0095743,              0.0095743,              0.0095743
                     45,                 2.0501,                 1.6084,                 1.9074,                0.64429,                0.53478,                 0.5962,                0.26762,                 2.2647,                 1.8307,                 2.1497,              0.0095644,              0.0095644,              0.0095644
                     46,                 2.0165,                 1.6058,                 1.8764,                0.70615,                0.54931,                0.59719,                0.25447,                 2.3051,                 1.9211,                 2.1616,              0.0095545,              0.0095545,              0.0095545
                     47,                 2.0255,                 1.5423,                 1.8784,                0.79934,                0.59048,                 0.7266,                0.33483,                 2.1487,                 1.5309,                 2.0716,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.0864,                 1.6347,                 1.9424,                0.59993,                0.51414,                  0.474,                0.22241,                 2.1636,                 1.9155,                 2.1122,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.0391,                 1.5568,                 1.8894,                0.68973,                 0.5619,                0.65403,                0.27809,                 2.3245,                 1.7697,                 2.2133,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.0348,                  1.468,                 1.8928,                0.79884,                 0.5619,                0.64443,                0.26247,                 2.3741,                 1.6844,                 2.2658,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.0349,                 1.5312,                    1.9,                0.79099,                0.48571,                  0.632,                0.26478,                 2.4435,                  1.814,                 2.2376,               0.009505,               0.009505,               0.009505
                     52,                 2.0232,                  1.503,                 1.8585,                0.75274,                0.73333,                0.77736,                0.34591,                 2.2158,                  1.563,                 2.0676,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.9868,                 1.4465,                 1.8513,                0.72253,                0.47619,                0.61473,                0.27569,                 2.3994,                  1.793,                 2.2505,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.9954,                 1.4473,                 1.8606,                0.78941,                0.54286,                 0.6677,                0.31659,                 2.1932,                  1.652,                 2.1647,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.9685,                 1.4654,                 1.8301,                0.79806,                0.61905,                0.75024,                0.35249,                  2.262,                 1.4896,                 2.2123,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.9718,                 1.4034,                 1.8361,                0.68148,                0.67619,                0.70183,                0.32096,                 2.3214,                 1.5395,                 2.3046,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.9655,                 1.4569,                 1.8173,                0.71768,                0.65371,                0.71365,                0.33569,                 2.1996,                 1.6142,                 2.1499,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.9171,                 1.3359,                 1.7879,                 0.9165,                0.71429,                0.81687,                0.40673,                 2.1385,                 1.3083,                 2.0243,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.9619,                 1.4093,                 1.7979,                0.76354,                0.67658,                0.75825,                0.37882,                 2.1208,                 1.4375,                 2.1284,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.9852,                 1.3672,                 1.8204,                0.71024,                0.66667,                0.67915,                0.30549,                 2.2587,                 1.6142,                 2.1297,              0.0094159,              0.0094159,              0.0094159
