                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3891,                 1.2991,                 1.7241,                0.68758,                0.73362,                0.71107,                0.26243,                 2.4027,                 1.7086,                 1.8574,              0.0096634,              0.0096634,              0.0096634
                     36,                 2.3893,                 1.3112,                 1.7125,                0.79586,                0.69935,                0.75853,                0.29344,                 2.3955,                 1.4183,                 1.8219,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.3743,                 1.2651,                 1.7299,                0.78095,                0.67974,                0.75167,                0.28475,                 2.5015,                 1.4153,                 1.8946,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.3418,                 1.2538,                 1.6626,                0.70889,                0.68627,                0.73332,                0.28448,                 2.4512,                 1.2892,                 1.8386,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.3406,                  1.267,                 1.6989,                0.72777,                0.66667,                 0.7001,                0.27355,                 2.4547,                 1.4189,                 1.8885,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.3537,                 1.2943,                 1.7057,                0.62298,                0.55556,                0.51209,                0.16075,                 2.6909,                 2.1774,                  1.983,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.3066,                 1.2435,                 1.6606,                0.62225,                0.67974,                0.62359,                0.22308,                 2.5307,                 1.9341,                 1.9134,               0.009604,               0.009604,               0.009604
                     42,                 2.3549,                 1.1692,                 1.6865,                0.70302,                0.73203,                0.74154,                0.29557,                 2.3912,                 1.5406,                 1.8395,              0.0095941,              0.0095941,              0.0095941
                     43,                 2.3358,                 1.2072,                 1.6599,                0.67103,                0.66667,                 0.6845,                0.28703,                 2.4123,                 1.3106,                  1.847,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.3356,                 1.2016,                 1.6842,                0.50651,                0.56863,                0.46368,                0.17793,                 2.6494,                 1.6277,                 2.0219,              0.0095743,              0.0095743,              0.0095743
                     45,                  2.331,                 1.2069,                 1.7155,                0.71266,                0.62092,                0.63773,                0.24318,                 2.5206,                 1.4812,                 1.8836,              0.0095644,              0.0095644,              0.0095644
                     46,                  2.283,                 1.1941,                 1.6561,                0.75632,                0.73032,                0.75045,                0.29697,                 2.4439,                 1.3487,                  1.864,              0.0095545,              0.0095545,              0.0095545
                     47,                 2.2931,                 1.1835,                 1.6779,                0.76148,                0.75118,                0.73026,                0.29067,                 2.4491,                 1.2933,                 1.8208,              0.0095446,              0.0095446,              0.0095446
                     48,                  2.279,                 1.1917,                  1.651,                0.65397,                0.64052,                0.63732,                0.21832,                  2.541,                 1.4412,                 1.9927,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.3471,                 1.1748,                 1.7201,                0.69056,                 0.6732,                0.69567,                0.26135,                  2.375,                 1.5478,                  1.851,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.2876,                 1.1956,                 1.6779,                0.72215,                0.69935,                0.70844,                0.28747,                 2.3312,                 1.3374,                 1.7979,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.2763,                 1.1801,                 1.6599,                0.71873,                0.60784,                0.67311,                 0.2593,                 2.4588,                 1.4617,                 1.8566,               0.009505,               0.009505,               0.009505
                     52,                  2.282,                 1.1293,                 1.6221,                0.51496,                0.50657,                0.51126,                0.18899,                 2.6159,                 1.8383,                 1.9494,              0.0094951,              0.0094951,              0.0094951
                     53,                 2.2683,                 1.1394,                  1.662,                0.68174,                0.64706,                0.69942,                0.26098,                 2.4949,                 1.4776,                 1.8723,              0.0094852,              0.0094852,              0.0094852
                     54,                 2.2898,                 1.1698,                 1.6788,                0.80282,                0.66529,                0.74894,                0.28644,                 2.4409,                 1.3051,                 1.8463,              0.0094753,              0.0094753,              0.0094753
                     55,                 2.2838,                 1.1499,                 1.6585,                0.74978,                0.71242,                0.77214,                0.30235,                   2.45,                 1.3617,                 1.8577,              0.0094654,              0.0094654,              0.0094654
                     56,                  2.244,                 1.1093,                 1.6461,                0.61443,                0.65359,                0.64485,                0.23024,                 2.5993,                 1.4411,                 1.9512,              0.0094555,              0.0094555,              0.0094555
                     57,                  2.227,                 1.0959,                 1.6215,                0.72537,                0.77778,                0.71248,                0.29029,                  2.354,                 1.2981,                 1.8186,              0.0094456,              0.0094456,              0.0094456
                     58,                 2.2465,                 1.0794,                  1.651,                0.77243,                0.79867,                 0.8192,                0.33486,                 2.3903,                 1.1454,                 1.8195,              0.0094357,              0.0094357,              0.0094357
                     59,                 2.2268,                 1.0709,                 1.6206,                0.79805,                0.76471,                0.76928,                0.32247,                 2.3301,                 1.2421,                 1.7886,              0.0094258,              0.0094258,              0.0094258
                     60,                 2.2576,                 1.0702,                 1.6309,                0.63722,                0.74623,                0.69419,                0.25521,                 2.4191,                 1.7462,                 1.8171,              0.0094159,              0.0094159,              0.0094159
                     61,                 2.2285,                 1.0805,                  1.619,                0.75043,                0.59477,                0.66612,                0.25088,                 2.5817,                 1.3121,                 1.9187,               0.009406,               0.009406,               0.009406
                     62,                 2.2141,                 1.0846,                 1.6371,                0.82792,                0.75472,                  0.813,                0.34077,                  2.446,                 1.1148,                  1.846,              0.0093961,              0.0093961,              0.0093961
                     63,                 2.2579,                 1.0658,                 1.6372,                0.79753,                0.73203,                0.76965,                0.29943,                 2.5395,                 1.2308,                  1.904,              0.0093862,              0.0093862,              0.0093862
                     64,                  2.231,                 1.0481,                 1.6205,                0.73307,                0.75817,                0.78004,                0.31993,                 2.4191,                 1.1941,                 1.8366,              0.0093763,              0.0093763,              0.0093763
                     65,                 2.2462,                 1.0881,                 1.6184,                0.67205,                0.72549,                0.75162,                0.28396,                 2.4634,                 1.3725,                 1.8651,              0.0093664,              0.0093664,              0.0093664
                     66,                  2.238,                  1.096,                 1.6335,                0.73056,                0.73856,                0.75564,                0.31837,                 2.3867,                 1.1948,                 1.8265,              0.0093565,              0.0093565,              0.0093565
                     67,                  2.241,                 1.0463,                 1.6634,                0.77892,                0.78431,                0.78176,                0.31189,                 2.4317,                 1.1602,                  1.865,              0.0093466,              0.0093466,              0.0093466
                     68,                 2.2493,                 1.1204,                 1.6235,                0.71077,                0.78704,                0.78912,                0.33469,                 2.2769,                 1.1529,                 1.7638,              0.0093367,              0.0093367,              0.0093367
                     69,                 2.2065,                 1.0885,                 1.6367,                0.81182,                0.76131,                0.79896,                0.32386,                  2.398,                 1.1462,                 1.8814,              0.0093268,              0.0093268,              0.0093268
                     70,                 2.2098,                  1.051,                 1.6399,                0.77061,                0.80392,                0.80562,                 0.3411,                 2.3818,                 1.1054,                 1.8104,              0.0093169,              0.0093169,              0.0093169
                     71,                  2.175,                 1.0419,                 1.5843,                0.76657,                0.79417,                0.79424,                0.32228,                 2.3671,                 1.1246,                 1.8764,               0.009307,               0.009307,               0.009307
                     72,                 2.2151,                 1.0132,                  1.653,                0.85167,                0.78431,                0.83188,                 0.3261,                  2.454,                 1.0317,                 1.8802,              0.0092971,              0.0092971,              0.0092971
                     73,                 2.1466,                 1.0036,                 1.5927,                0.80995,                0.73203,                0.78358,                 0.3199,                 2.3548,                 1.1417,                 1.8169,              0.0092872,              0.0092872,              0.0092872
                     74,                  2.178,                 0.9948,                 1.6068,                0.73889,                0.77682,                 0.7944,                0.32492,                 2.4185,                 1.1684,                 1.8562,              0.0092773,              0.0092773,              0.0092773
                     75,                  2.198,                 1.0067,                  1.606,                0.79977,                0.73098,                0.76223,                0.32081,                 2.4066,                  1.035,                 1.8427,              0.0092674,              0.0092674,              0.0092674
                     76,                 2.2125,                 1.0091,                 1.6292,                0.83631,                0.71242,                0.79721,                0.32916,                 2.4558,                  1.008,                 1.8617,              0.0092575,              0.0092575,              0.0092575
                     77,                 2.1651,                 1.0304,                 1.5857,                0.77157,                0.75817,                0.76598,                0.29878,                  2.497,                 1.1397,                 1.8905,              0.0092476,              0.0092476,              0.0092476
                     78,                 2.2116,                 1.0478,                 1.6404,                0.79985,                0.76471,                0.77299,                0.30114,                  2.475,                 1.1452,                 1.8569,              0.0092377,              0.0092377,              0.0092377
                     79,                 2.1607,                0.99436,                 1.5768,                0.79168,                0.78431,                0.82118,                0.33721,                 2.3852,                 1.0569,                 1.8322,              0.0092278,              0.0092278,              0.0092278
                     80,                 2.1594,                0.98818,                 1.5934,                0.77472,                0.73856,                0.79659,                  0.332,                  2.427,                 1.0429,                 1.8565,              0.0092179,              0.0092179,              0.0092179
                     81,                 2.1691,                 0.9877,                 1.6055,                0.77163,                 0.6732,                0.74514,                0.29102,                 2.4615,                 1.1296,                 1.9008,               0.009208,               0.009208,               0.009208
                     82,                 2.1389,                0.96074,                 1.5744,                0.80515,                0.78431,                0.78927,                0.29462,                 2.5762,                 1.1984,                 1.9454,              0.0091981,              0.0091981,              0.0091981
                     83,                  2.169,                  1.001,                 1.5957,                0.79707,                0.71242,                0.74143,                0.29112,                 2.5646,                 1.1972,                 1.9406,              0.0091882,              0.0091882,              0.0091882
                     84,                 2.1785,                0.98858,                 1.6126,                0.76958,                0.69853,                 0.7433,                0.29119,                 2.5006,                 1.1913,                 1.8935,              0.0091783,              0.0091783,              0.0091783
                     85,                 2.1951,                0.98296,                 1.6009,                0.78047,                0.82353,                0.82009,                0.33108,                 2.4541,                 1.0919,                 1.8305,              0.0091684,              0.0091684,              0.0091684
                     86,                 2.1638,                 0.9902,                 1.5917,                0.77379,                0.77778,                0.78259,                0.30968,                 2.4879,                 1.1907,                 1.9116,              0.0091585,              0.0091585,              0.0091585
                     87,                 2.1465,                0.93342,                 1.5771,                0.81607,                0.75399,                0.81306,                0.31615,                 2.4856,                 1.0754,                 1.8725,              0.0091486,              0.0091486,              0.0091486
                     88,                 2.1221,                0.94684,                 1.5544,                0.76603,                0.65359,                0.69434,                0.27584,                 2.5546,                 1.1964,                 1.9436,              0.0091387,              0.0091387,              0.0091387
                     89,                 2.1373,                0.94786,                 1.6041,                 0.7964,                0.77778,                 0.7986,                0.33408,                 2.3623,                 1.0308,                 1.8142,              0.0091288,              0.0091288,              0.0091288
                     90,                 2.1408,                0.96594,                 1.5704,                0.82262,                0.70588,                0.78187,                0.30986,                 2.4952,                 1.0936,                 1.9228,              0.0091189,              0.0091189,              0.0091189
                     91,                  2.149,                0.95743,                 1.5728,                0.80737,                0.75163,                0.76857,                0.29848,                 2.5091,                 1.1233,                 1.9339,               0.009109,               0.009109,               0.009109
                     92,                 2.1478,                0.96594,                 1.5836,                0.83458,                0.75841,                0.81238,                0.34213,                 2.3618,                 1.0139,                 1.8177,              0.0090991,              0.0090991,              0.0090991
                     93,                 2.0764,                0.92062,                 1.5454,                0.63859,                 0.7622,                 0.7183,                0.25948,                 2.5133,                 1.3368,                 1.9103,              0.0090892,              0.0090892,              0.0090892
                     94,                 2.1062,                0.95545,                 1.5625,                0.84577,                 0.7527,                0.81916,                0.32528,                 2.4172,                 1.0799,                 1.8338,              0.0090793,              0.0090793,              0.0090793
                     95,                 2.1411,                0.95548,                 1.5694,                0.75328,                0.81699,                0.79679,                0.32804,                 2.4375,                  1.153,                 1.8559,              0.0090694,              0.0090694,              0.0090694
                     96,                 2.1263,                0.94084,                 1.5817,                0.71763,                0.77124,                0.75461,                0.32209,                 2.4222,                 1.2387,                 1.8433,              0.0090595,              0.0090595,              0.0090595
                     97,                 2.1176,                0.92718,                 1.5544,                0.73888,                0.75826,                0.75091,                 0.2984,                 2.5009,                 1.1654,                 1.8718,              0.0090496,              0.0090496,              0.0090496
                     98,                  2.124,                0.94747,                 1.5558,                0.76829,                0.78017,                0.76025,                0.31569,                 2.3779,                 0.9975,                 1.7957,              0.0090397,              0.0090397,              0.0090397
                     99,                 2.1563,                0.92987,                 1.5836,                0.80788,                 0.7451,                0.77319,                0.31692,                 2.4371,                 1.0637,                 1.8306,              0.0090298,              0.0090298,              0.0090298
                    100,                 2.1245,                0.91986,                 1.5701,                0.82117,                0.78032,                0.79633,                0.33951,                 2.3877,                 1.0137,                 1.8114,              0.0090199,              0.0090199,              0.0090199
                    101,                  2.115,                0.92954,                 1.5484,                0.75323,                0.69827,                0.75263,                0.29077,                 2.5378,                 1.0756,                 1.9072,                0.00901,                0.00901,                0.00901
                    102,                  2.125,                0.95146,                 1.5711,                0.80923,                0.73856,                0.77486,                0.30996,                 2.4586,                 1.0952,                 1.8542,              0.0090001,              0.0090001,              0.0090001
                    103,                 2.0659,                0.90753,                 1.5452,                0.76395,                0.73203,                0.75927,                0.31675,                 2.4404,                 1.0622,                 1.8439,              0.0089902,              0.0089902,              0.0089902
                    104,                 2.0814,                0.90338,                 1.5697,                0.85868,                0.69281,                0.80192,                0.33158,                 2.4033,                0.97994,                 1.8595,              0.0089803,              0.0089803,              0.0089803
                    105,                 2.0562,                0.90053,                 1.5198,                0.80006,                0.75163,                0.79634,                 0.3465,                 2.3469,                 1.0923,                 1.7813,              0.0089704,              0.0089704,              0.0089704
                    106,                 2.0871,                0.89801,                 1.5272,                0.81708,                0.75908,                0.78102,                0.31994,                 2.4951,                 1.0864,                 1.8594,              0.0089605,              0.0089605,              0.0089605
                    107,                 2.1023,                0.93279,                 1.5433,                0.79843,                0.71242,                0.75601,                 0.3081,                 2.5033,                 1.0829,                 1.8441,              0.0089506,              0.0089506,              0.0089506
                    108,                 2.1017,                0.92953,                 1.5468,                0.71376,                0.69935,                 0.7134,                0.26338,                 2.5924,                 1.3615,                 1.9348,              0.0089407,              0.0089407,              0.0089407
                    109,                 2.0751,                0.89489,                 1.5222,                0.85284,                0.79085,                0.82619,                 0.3499,                 2.3463,                0.98562,                   1.77,              0.0089308,              0.0089308,              0.0089308
                    110,                 2.0647,                0.90235,                 1.5373,                0.84657,                0.77124,                 0.8277,                0.33252,                 2.4495,                0.96069,                 1.8382,              0.0089209,              0.0089209,              0.0089209
                    111,                 2.0976,                0.90068,                 1.5703,                0.84475,                0.76471,                0.80372,                0.34423,                 2.4226,                0.99871,                 1.8129,               0.008911,               0.008911,               0.008911
                    112,                  2.119,                0.89261,                 1.5508,                0.80733,                0.79423,                0.79448,                 0.3188,                 2.4642,                 1.0408,                 1.8814,              0.0089011,              0.0089011,              0.0089011
                    113,                  2.153,                0.93117,                  1.571,                0.80847,                 0.8001,                 0.8008,                0.33569,                 2.4081,                  1.034,                 1.8663,              0.0088912,              0.0088912,              0.0088912
                    114,                 2.1298,                0.89479,                 1.5566,                0.77042,                0.72549,                0.73204,                0.30522,                 2.4821,                 1.1099,                 1.8672,              0.0088813,              0.0088813,              0.0088813
                    115,                 2.0684,                0.91433,                 1.5527,                0.81697,                0.78431,                0.78758,                0.32751,                 2.3817,                 1.0028,                 1.8361,              0.0088714,              0.0088714,              0.0088714
                    116,                 2.0703,                 0.9102,                 1.5393,                0.78257,                0.77778,                0.76953,                0.32272,                 2.4481,                 1.0261,                 1.8464,              0.0088615,              0.0088615,              0.0088615
                    117,                 2.0236,                0.87237,                 1.5148,                0.87304,                0.77778,                0.83405,                0.34817,                 2.3937,                0.99242,                 1.8206,              0.0088516,              0.0088516,              0.0088516
                    118,                 2.0501,                0.84532,                 1.5212,                0.85421,                0.76471,                0.79452,                0.32374,                 2.4987,                0.96315,                 1.8873,              0.0088417,              0.0088417,              0.0088417
                    119,                 2.0358,                0.87883,                  1.516,                0.86088,                0.76471,                0.77673,                0.32094,                 2.3789,                 1.0075,                  1.822,              0.0088318,              0.0088318,              0.0088318
                    120,                 2.0467,                0.85605,                 1.5092,                0.86203,                0.76471,                0.83545,                0.34231,                 2.4298,                0.93803,                 1.8684,              0.0088219,              0.0088219,              0.0088219
                    121,                 2.0695,                0.86411,                 1.5184,                0.86158,                0.77778,                0.83276,                0.35454,                 2.3617,                0.99194,                   1.82,               0.008812,               0.008812,               0.008812
                    122,                 2.0166,                0.83383,                 1.4862,                0.77691,                0.81699,                0.77686,                0.31958,                 2.4851,                0.94307,                 1.8592,              0.0088021,              0.0088021,              0.0088021
                    123,                 2.0838,                0.86676,                 1.5636,                0.79009,                0.78724,                 0.7936,                0.32803,                 2.4271,                0.99428,                 1.8414,              0.0087922,              0.0087922,              0.0087922
                    124,                 2.0458,                0.86529,                 1.5372,                 0.7252,                0.81068,                0.79723,                0.32425,                 2.4488,                 1.0283,                 1.8463,              0.0087823,              0.0087823,              0.0087823
                    125,                 2.0247,                 0.8362,                 1.5115,                0.77204,                0.81046,                 0.8034,                0.32983,                 2.4086,                0.98604,                 1.8111,              0.0087724,              0.0087724,              0.0087724
                    126,                 2.0146,                0.84984,                 1.5257,                0.83931,                0.75105,                 0.8102,                0.32523,                 2.4371,                0.97989,                 1.8542,              0.0087625,              0.0087625,              0.0087625
                    127,                 2.0481,                0.84494,                 1.5014,                0.73584,                 0.8375,                0.79874,                0.32388,                 2.4314,                 1.0647,                 1.8368,              0.0087526,              0.0087526,              0.0087526
                    128,                 2.0345,                0.86107,                 1.5105,                0.79117,                0.77124,                 0.7782,                0.32918,                 2.4236,                   1.03,                 1.8113,              0.0087427,              0.0087427,              0.0087427
                    129,                 2.0368,                0.86248,                 1.5294,                0.74516,                0.76471,                 0.7563,                0.34521,                 2.3647,                 1.0013,                   1.81,              0.0087328,              0.0087328,              0.0087328
                    130,                 2.0138,                0.84223,                 1.4984,                0.77732,                0.78431,                0.80496,                0.33786,                 2.3828,                 1.0594,                 1.8279,              0.0087229,              0.0087229,              0.0087229
