                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0143,                0.56952,                 1.0618,                0.87509,                0.74646,                0.81899,                  0.407,                 1.8282,                 0.9803,                 1.8403,              0.0096634,              0.0096634,              0.0096634
                     36,                0.98974,                 0.5467,                 1.0573,                0.90895,                0.78474,                0.86335,                0.40398,                 1.8238,                 0.9608,                 1.8337,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0108,                0.55078,                 1.0577,                 0.9103,                0.71245,                0.81321,                0.39703,                 1.8092,                 1.0096,                 1.8433,              0.0096436,              0.0096436,              0.0096436
                     38,                0.99179,                 0.5461,                 1.0539,                0.88227,                0.75837,                0.85254,                0.39112,                 1.7936,                 1.0061,                 1.8111,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0166,                0.55449,                 1.0501,                0.82632,                0.77364,                0.83984,                0.38527,                  1.819,                 1.0206,                 1.7856,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.0097,                0.54464,                 1.0534,                0.89239,                0.77593,                0.81339,                0.39601,                 1.8075,                0.98371,                 1.8457,              0.0096139,              0.0096139,              0.0096139
                     41,                0.99034,                0.52712,                 1.0432,                0.91988,                0.78166,                0.86004,                0.40928,                 1.8436,                0.86428,                 1.8959,               0.009604,               0.009604,               0.009604
                     42,                0.97892,                0.53839,                 1.0398,                0.85117,                0.79786,                0.86015,                0.40383,                 1.8371,                0.94624,                 1.9167,              0.0095941,              0.0095941,              0.0095941
                     43,                0.99728,                0.55034,                 1.0581,                0.80889,                0.75904,                0.81516,                0.37297,                 1.8476,                0.94234,                 1.8679,              0.0095842,              0.0095842,              0.0095842
                     44,                0.98614,                0.52851,                 1.0369,                0.88798,                0.81369,                0.88574,                 0.4125,                 1.8032,                 0.8591,                 1.8397,              0.0095743,              0.0095743,              0.0095743
                     45,                0.97505,                0.54073,                 1.0414,                0.90288,                0.79461,                0.85583,                0.39746,                 1.8086,                0.94577,                 1.8577,              0.0095644,              0.0095644,              0.0095644
                     46,                0.99592,                 0.5349,                 1.0511,                0.82845,                0.77899,                0.81298,                0.39072,                 1.8672,                 1.0138,                 1.8842,              0.0095545,              0.0095545,              0.0095545
                     47,                  1.003,                0.53676,                 1.0606,                 0.8784,                0.80802,                0.86917,                0.41193,                 1.8264,                0.93608,                 1.8524,              0.0095446,              0.0095446,              0.0095446
                     48,                0.97335,                0.52352,                 1.0365,                0.93642,                0.81585,                0.88526,                0.42552,                 1.8092,                0.91526,                 1.8473,              0.0095347,              0.0095347,              0.0095347
                     49,                 0.9688,                0.53414,                 1.0395,                0.90403,                0.73181,                0.85047,                 0.4235,                 1.8142,                0.94705,                 1.8429,              0.0095248,              0.0095248,              0.0095248
                     50,                0.98593,                0.53576,                 1.0559,                 0.8896,                0.76594,                0.83759,                0.38777,                 1.8366,                0.94241,                 1.8794,              0.0095149,              0.0095149,              0.0095149
                     51,                0.96195,                0.52368,                 1.0302,                0.87013,                0.82673,                0.84809,                0.41229,                 1.8227,                  0.895,                 1.8737,               0.009505,               0.009505,               0.009505
                     52,                 0.9717,                0.53253,                 1.0436,                0.81123,                0.81423,                0.86763,                0.40583,                  1.831,                0.94694,                 1.8288,              0.0094951,              0.0094951,              0.0094951
                     53,                 0.9822,                0.52466,                 1.0342,                 0.8392,                0.82709,                 0.8678,                0.40369,                 1.8104,                0.95755,                 1.8378,              0.0094852,              0.0094852,              0.0094852
                     54,                0.98966,                0.55213,                 1.0417,                0.84074,                0.77224,                0.84271,                0.40011,                 1.8319,                 1.0029,                 1.8692,              0.0094753,              0.0094753,              0.0094753
                     55,                0.95162,                0.52442,                 1.0325,                0.91125,                0.77796,                0.86897,                0.41304,                 1.8247,                0.91459,                 1.8715,              0.0094654,              0.0094654,              0.0094654
                     56,                0.98348,                0.53146,                 1.0479,                0.90959,                0.74528,                 0.8566,                0.37983,                 1.8639,                 1.0787,                 1.8646,              0.0094555,              0.0094555,              0.0094555
                     57,                0.98002,                0.52963,                 1.0373,                0.86806,                0.79734,                0.83982,                0.40169,                 1.8259,                0.88716,                 1.9179,              0.0094456,              0.0094456,              0.0094456
                     58,                0.99978,                0.54303,                 1.0423,                0.89194,                0.81744,                0.87632,                0.41516,                 1.8117,                0.87363,                 1.8634,              0.0094357,              0.0094357,              0.0094357
                     59,                0.97472,                0.52066,                 1.0432,                0.90459,                0.81884,                0.88028,                 0.4062,                 1.8226,                0.93514,                 1.8962,              0.0094258,              0.0094258,              0.0094258
                     60,                0.96043,                0.53209,                 1.0327,                0.87369,                0.76873,                 0.8423,                0.40063,                 1.8265,                0.94878,                 1.8805,              0.0094159,              0.0094159,              0.0094159
                     61,                0.94681,                0.51586,                 1.0213,                0.88857,                 0.7831,                0.80587,                0.40293,                 1.7772,                0.94713,                 1.8222,               0.009406,               0.009406,               0.009406
                     62,                0.97581,                0.53603,                 1.0457,                0.77814,                0.72796,                0.78373,                0.37665,                  1.844,                 1.0678,                 1.8414,              0.0093961,              0.0093961,              0.0093961
                     63,                0.97737,                0.54547,                 1.0473,                0.89038,                0.79218,                0.87092,                0.40946,                 1.8191,                0.92498,                 1.8667,              0.0093862,              0.0093862,              0.0093862
                     64,                0.98257,                0.53412,                 1.0385,                0.87063,                 0.8376,                0.88408,                0.40859,                 1.8331,                0.92057,                 1.8959,              0.0093763,              0.0093763,              0.0093763
                     65,                0.94913,                0.51292,                 1.0319,                0.88854,                0.80517,                0.85548,                 0.4039,                  1.846,                 1.0062,                 1.9123,              0.0093664,              0.0093664,              0.0093664
                     66,                0.94649,                0.51548,                 1.0284,                 0.8751,                0.79378,                0.87683,                0.39932,                 1.8339,                0.97561,                 1.8441,              0.0093565,              0.0093565,              0.0093565
                     67,                0.97137,                0.52058,                 1.0332,                0.87905,                0.79018,                0.87675,                 0.4108,                 1.8156,                0.95821,                 1.8691,              0.0093466,              0.0093466,              0.0093466
